"","date","country","plant_location","industry_sector","accident_level","potential_accident_level","gender","injured_person","accident_type","year","month","accident_category"
"1",2016-01-01,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Pressed",2016,"Jan","Mechanical Hazard"
"2",2016-01-02,"Country_02","Local_02","Mining","I","IV","Male","Employee","Pressurized Systems",2016,"Jan","Mechanical Hazard"
"3",2016-01-06,"Country_01","Local_03","Mining","I","III","Male","Third Party (Remote)","Manual Tools",2016,"Jan","Mechanical Hazard"
"4",2016-01-08,"Country_01","Local_04","Mining","I","I","Male","Third Party","Others",2016,"Jan","Others"
"5",2016-01-10,"Country_01","Local_04","Mining","IV","IV","Male","Third Party","Others",2016,"Jan","Others"
"6",2016-01-12,"Country_02","Local_05","Metals","I","III","Male","Third Party (Remote)","Pressurized Systems",2016,"Jan","Mechanical Hazard"
"7",2016-01-16,"Country_02","Local_05","Metals","I","III","Male","Employee","Fall prevention (same level)",2016,"Jan","Physical Hazard"
"8",2016-01-17,"Country_01","Local_04","Mining","I","III","Male","Third Party","Pressed",2016,"Jan","Mechanical Hazard"
"9",2016-01-19,"Country_02","Local_02","Mining","I","IV","Male","Third Party (Remote)","Others",2016,"Jan","Others"
"10",2016-01-26,"Country_01","Local_06","Metals","I","II","Male","Third Party","Chemical substances",2016,"Jan","Chemical Hazard"
"11",2016-01-28,"Country_01","Local_03","Mining","I","III","Male","Employee","Others",2016,"Jan","Others"
"12",2016-01-30,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2016,"Jan","Others"
"13",2016-02-01,"Country_02","Local_05","Metals","I","I","Male","Employee","Liquid Metal",2016,"Feb","Chemical Hazard"
"14",2016-02-02,"Country_01","Local_01","Mining","IV","V","Male","Third Party","Electrical installation",2016,"Feb","Electrical Hazard"
"15",2016-02-04,"Country_02","Local_05","Metals","I","III","Male","Employee","Confined space",2016,"Feb","Mechanical Hazard"
"16",2016-02-04,"Country_02","Local_05","Metals","I","IV","Male","Employee","Liquid Metal",2016,"Feb","Chemical Hazard"
"17",2016-02-06,"Country_01","Local_04","Mining","III","IV","Male","Third Party","Others",2016,"Feb","Others"
"18",2016-02-07,"Country_01","Local_06","Metals","I","II","Female","Third Party","Others",2016,"Feb","Others"
"19",2016-02-08,"Country_01","Local_06","Metals","I","II","Male","Employee","Others",2016,"Feb","Others"
"20",2016-02-21,"Country_01","Local_06","Metals","I","III","Male","Employee","Others",2016,"Feb","Others"
"21",2016-02-25,"Country_01","Local_06","Metals","I","II","Male","Third Party","Others",2016,"Feb","Others"
"22",2016-02-09,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2016,"Feb","Others"
"23",2016-02-10,"Country_01","Local_03","Mining","II","IV","Male","Third Party","Others",2016,"Feb","Others"
"24",2016-02-15,"Country_02","Local_02","Mining","II","II","Male","Third Party (Remote)","Others",2016,"Feb","Others"
"25",2016-02-14,"Country_01","Local_06","Metals","I","II","Male","Third Party","Others",2016,"Feb","Others"
"26",2016-02-15,"Country_01","Local_06","Metals","I","II","Male","Employee","Manual Tools",2016,"Feb","Mechanical Hazard"
"27",2016-02-13,"Country_01","Local_01","Mining","I","I","Male","Employee","Others",2016,"Feb","Others"
"28",2016-02-15,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"Feb","Others"
"29",2016-02-16,"Country_01","Local_01","Mining","I","IV","Male","Employee","Others",2016,"Feb","Others"
"30",2016-02-16,"Country_02","Local_07","Mining","II","III","Male","Employee","Others",2016,"Feb","Others"
"31",2016-02-17,"Country_01","Local_03","Mining","I","II","Male","Employee","Others",2016,"Feb","Others"
"32",2016-02-19,"Country_01","Local_03","Mining","I","II","Male","Employee","Others",2016,"Feb","Others"
"33",2016-02-21,"Country_01","Local_01","Mining","III","IV","Male","Third Party","Others",2016,"Feb","Others"
"34",2016-02-20,"Country_01","Local_04","Mining","V","V","Male","Third Party","Others",2016,"Feb","Others"
"35",2016-02-15,"Country_02","Local_05","Metals","I","II","Male","Employee","Others",2016,"Feb","Others"
"36",2016-02-18,"Country_02","Local_05","Metals","I","III","Male","Third Party (Remote)","Pressed",2016,"Feb","Mechanical Hazard"
"37",2016-02-22,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2016,"Feb","Others"
"38",2016-02-24,"Country_02","Local_07","Mining","I","V","Male","Employee","Others",2016,"Feb","Others"
"39",2016-02-24,"Country_02","Local_07","Mining","I","V","Female","Third Party","Others",2016,"Feb","Others"
"40",2016-02-24,"Country_01","Local_01","Mining","I","IV","Male","Employee","Others",2016,"Feb","Others"
"41",2016-02-29,"Country_02","Local_02","Mining","II","IV","Male","Employee","Others",2016,"Feb","Others"
"42",2016-02-26,"Country_01","Local_06","Metals","I","IV","Male","Third Party (Remote)","Pressurized Systems / Chemical Substances",2016,"Feb","Mechanical Hazard"
"43",2016-02-27,"Country_01","Local_01","Mining","I","III","Male","Third Party","Others",2016,"Feb","Others"
"44",2016-03-02,"Country_02","Local_08","Metals","I","III","Male","Employee","Pressed",2016,"Mar","Mechanical Hazard"
"45",2016-03-02,"Country_01","Local_06","Metals","I","III","Male","Employee","Blocking and isolation of energies",2016,"Mar","Electrical Hazard"
"46",2016-03-03,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"Mar","Others"
"47",2016-03-04,"Country_01","Local_06","Metals","I","III","Male","Employee","Manual Tools",2016,"Mar","Mechanical Hazard"
"48",2016-03-05,"Country_01","Local_03","Mining","I","IV","Male","Employee","Others",2016,"Mar","Others"
"49",2016-03-06,"Country_01","Local_04","Mining","I","III","Male","Employee","Others",2016,"Mar","Others"
"50",2016-03-06,"Country_01","Local_03","Mining","III","IV","Male","Third Party (Remote)","Others",2016,"Mar","Others"
"51",2016-03-09,"Country_01","Local_06","Metals","I","IV","Male","Third Party","Suspended Loads",2016,"Mar","Physical Hazard"
"52",2016-03-11,"Country_01","Local_03","Mining","III","V","Male","Third Party","Others",2016,"Mar","Others"
"53",2016-03-13,"Country_01","Local_03","Mining","I","IV","Male","Third Party (Remote)","Others",2016,"Mar","Others"
"54",2016-03-12,"Country_02","Local_07","Mining","III","IV","Male","Employee","Others",2016,"Mar","Others"
"55",2016-03-14,"Country_01","Local_06","Metals","II","III","Male","Third Party (Remote)","Chemical substances",2016,"Mar","Chemical Hazard"
"56",2016-03-13,"Country_01","Local_03","Mining","I","III","Male","Employee","Others",2016,"Mar","Others"
"57",2016-03-16,"Country_01","Local_04","Mining","I","II","Male","Third Party","Others",2016,"Mar","Others"
"58",2016-03-10,"Country_02","Local_05","Metals","I","II","Male","Employee","Pressed",2016,"Mar","Mechanical Hazard"
"59",2016-03-17,"Country_01","Local_01","Mining","I","II","Male","Third Party","Others",2016,"Mar","Others"
"60",2016-03-16,"Country_02","Local_08","Metals","II","II","Male","Employee","Manual Tools",2016,"Mar","Mechanical Hazard"
"61",2016-03-18,"Country_01","Local_04","Mining","IV","IV","Male","Third Party","Others",2016,"Mar","Others"
"62",2016-03-19,"Country_01","Local_01","Mining","I","III","Male","Employee","Others",2016,"Mar","Others"
"63",2016-03-14,"Country_02","Local_05","Metals","I","IV","Male","Employee","Chemical substances",2016,"Mar","Chemical Hazard"
"64",2016-03-18,"Country_02","Local_05","Metals","I","IV","Male","Employee","Fall prevention (same level)",2016,"Mar","Physical Hazard"
"65",2016-03-18,"Country_02","Local_05","Metals","I","IV","Male","Employee","Chemical substances",2016,"Mar","Chemical Hazard"
"66",2016-03-22,"Country_01","Local_03","Mining","I","II","Male","Employee","Others",2016,"Mar","Others"
"67",2016-03-22,"Country_01","Local_01","Mining","IV","IV","Male","Third Party","Others",2016,"Mar","Others"
"68",2016-03-25,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2016,"Mar","Others"
"69",2016-03-30,"Country_01","Local_04","Mining","II","IV","Male","Third Party","Others",2016,"Mar","Others"
"70",2016-03-30,"Country_01","Local_03","Mining","I","III","Male","Employee","Others",2016,"Mar","Others"
"71",2016-03-31,"Country_01","Local_06","Metals","I","III","Male","Employee","Others",2016,"Mar","Others"
"72",2016-03-31,"Country_02","Local_08","Metals","I","III","Male","Third Party (Remote)","Pressed",2016,"Mar","Mechanical Hazard"
"73",2016-04-01,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"Apr","Others"
"74",2016-04-03,"Country_01","Local_01","Mining","III","V","Male","Third Party","Others",2016,"Apr","Others"
"75",2016-04-02,"Country_01","Local_01","Mining","I","III","Male","Employee","Others",2016,"Apr","Others"
"76",2016-04-01,"Country_01","Local_01","Mining","I","V","Male","Third Party (Remote)","Others",2016,"Apr","Others"
"77",2016-03-10,"Country_03","Local_10","Others","II","II","Male","Third Party","Others",2016,"Mar","Others"
"78",2016-03-24,"Country_03","Local_10","Others","IV","IV","Male","Third Party","Poll",2016,"Mar","Mechanical Hazard"
"79",2016-03-22,"Country_03","Local_10","Others","I","I","Male","Third Party","Others",2016,"Mar","Others"
"80",2016-03-31,"Country_01","Local_03","Mining","I","II","Male","Third Party","Others",2016,"Mar","Others"
"81",2016-04-04,"Country_02","Local_09","Metals","III","IV","Male","Employee","Manual Tools",2016,"Apr","Mechanical Hazard"
"82",2016-04-05,"Country_01","Local_06","Metals","I","III","Male","Third Party","Fall prevention (same level)",2016,"Apr","Physical Hazard"
"83",2016-04-05,"Country_02","Local_05","Metals","I","III","Male","Third Party","Pressed",2016,"Apr","Mechanical Hazard"
"84",2016-04-07,"Country_01","Local_03","Mining","I","II","Male","Third Party","Others",2016,"Apr","Others"
"85",2016-04-08,"Country_01","Local_03","Mining","I","IV","Male","Employee","Others",2016,"Apr","Others"
"86",2016-04-11,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2016,"Apr","Others"
"87",2016-04-11,"Country_01","Local_01","Mining","I","IV","Male","Employee","Others",2016,"Apr","Others"
"88",2016-04-14,"Country_02","Local_08","Metals","I","III","Male","Employee","Pressurized Systems",2016,"Apr","Mechanical Hazard"
"89",2016-04-14,"Country_01","Local_04","Mining","I","II","Male","Third Party","Others",2016,"Apr","Others"
"90",2016-04-16,"Country_01","Local_04","Mining","I","III","Male","Third Party","Others",2016,"Apr","Others"
"91",2016-04-16,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"Apr","Others"
"92",2016-04-15,"Country_01","Local_03","Mining","I","II","Male","Employee","Others",2016,"Apr","Others"
"93",2016-04-17,"Country_02","Local_05","Metals","I","IV","Male","Employee","Cut",2016,"Apr","Mechanical Hazard"
"94",2016-04-18,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"Apr","Others"
"95",2016-04-21,"Country_02","Local_02","Mining","I","V","Male","Employee","Others",2016,"Apr","Others"
"96",2016-04-22,"Country_01","Local_01","Mining","I","II","Male","Third Party","Others",2016,"Apr","Others"
"97",2016-04-23,"Country_01","Local_04","Mining","I","III","Male","Employee","Others",2016,"Apr","Others"
"98",2016-04-22,"Country_02","Local_05","Metals","II","IV","Male","Third Party","Pressurized Systems / Chemical Substances",2016,"Apr","Mechanical Hazard"
"99",2016-04-26,"Country_02","Local_05","Metals","I","II","Female","Third Party","Cut",2016,"Apr","Mechanical Hazard"
"100",2016-04-28,"Country_02","Local_05","Metals","I","III","Male","Third Party (Remote)","Chemical substances",2016,"Apr","Chemical Hazard"
"101",2016-04-29,"Country_01","Local_04","Mining","III","IV","Male","Third Party","Others",2016,"Apr","Others"
"102",2016-04-30,"Country_02","Local_05","Metals","I","IV","Male","Employee","Pressed",2016,"Apr","Mechanical Hazard"
"103",2016-04-30,"Country_01","Local_01","Mining","I","II","Male","Employee","Others",2016,"Apr","Others"
"104",2016-04-30,"Country_01","Local_03","Mining","IV","IV","Male","Third Party","Others",2016,"Apr","Others"
"105",2016-05-01,"Country_01","Local_04","Mining","I","IV","Male","Third Party","Others",2016,"May","Others"
"106",2016-05-02,"Country_02","Local_05","Metals","I","IV","Female","Third Party (Remote)","Chemical substances",2016,"May","Chemical Hazard"
"107",2016-05-04,"Country_03","Local_10","Others","I","I","Male","Third Party","Manual Tools",2016,"May","Mechanical Hazard"
"108",2016-05-03,"Country_01","Local_04","Mining","II","IV","Male","Third Party","Others",2016,"May","Others"
"109",2016-05-04,"Country_01","Local_04","Mining","I","III","Male","Employee","Others",2016,"May","Others"
"110",2016-05-04,"Country_02","Local_05","Metals","I","III","Female","Third Party (Remote)","Chemical substances",2016,"May","Chemical Hazard"
"111",2016-05-04,"Country_02","Local_05","Metals","I","III","Male","Third Party (Remote)","Chemical substances",2016,"May","Chemical Hazard"
"112",2016-05-05,"Country_02","Local_05","Metals","I","III","Male","Third Party","Manual Tools",2016,"May","Mechanical Hazard"
"113",2016-05-05,"Country_02","Local_08","Metals","I","II","Male","Third Party (Remote)","Manual Tools",2016,"May","Mechanical Hazard"
"114",2016-05-11,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"May","Others"
"115",2016-05-12,"Country_01","Local_06","Metals","I","II","Male","Third Party (Remote)","Chemical substances",2016,"May","Chemical Hazard"
"116",2016-05-11,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2016,"May","Others"
"117",2016-05-14,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2016,"May","Others"
"118",2016-05-17,"Country_01","Local_11","Others","I","II","Male","Employee","Others",2016,"May","Others"
"119",2016-05-19,"Country_01","Local_03","Mining","I","IV","Male","Third Party (Remote)","Others",2016,"May","Others"
"120",2016-05-18,"Country_02","Local_05","Metals","I","III","Male","Employee","Others",2016,"May","Others"
"121",2016-05-22,"Country_02","Local_08","Metals","I","III","Male","Employee","Blocking and isolation of energies",2016,"May","Electrical Hazard"
"122",2016-05-20,"Country_01","Local_06","Metals","I","I","Male","Third Party","Fall prevention (same level)",2016,"May","Physical Hazard"
"123",2016-05-22,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2016,"May","Others"
"124",2016-05-24,"Country_03","Local_10","Others","IV","IV","Male","Third Party","Fall",2016,"May","Physical Hazard"
"125",2016-05-12,"Country_01","Local_04","Mining","I","III","Male","Employee","Others",2016,"May","Others"
"126",2016-05-25,"Country_01","Local_04","Mining","II","III","Male","Employee","Others",2016,"May","Others"
"127",2016-05-27,"Country_02","Local_02","Mining","I","V","Male","Employee","Others",2016,"May","Others"
"128",2016-05-25,"Country_03","Local_10","Others","I","I","Male","Third Party","Bees",2016,"May","Biological Hazard"
"129",2016-05-26,"Country_03","Local_10","Others","I","I","Male","Third Party","Bees",2016,"May","Biological Hazard"
"130",2016-05-26,"Country_03","Local_10","Others","I","I","Male","Employee","Others",2016,"May","Others"
"131",2016-06-01,"Country_02","Local_05","Metals","I","III","Male","Employee","Cut",2016,"Jun","Mechanical Hazard"
"132",2016-06-02,"Country_02","Local_05","Metals","I","III","Male","Employee","Cut",2016,"Jun","Mechanical Hazard"
"133",2016-06-03,"Country_01","Local_01","Mining","I","II","Male","Third Party","Others",2016,"Jun","Others"
"134",2016-06-04,"Country_01","Local_04","Mining","V","V","Male","Third Party","Others",2016,"Jun","Others"
"135",2016-06-03,"Country_03","Local_10","Others","II","II","Male","Third Party","Others",2016,"Jun","Others"
"136",2016-06-05,"Country_01","Local_03","Mining","I","III","Male","Employee","Others",2016,"Jun","Others"
"137",2016-06-05,"Country_01","Local_06","Metals","I","I","Male","Employee","Fall prevention",2016,"Jun","Physical Hazard"
"138",2016-06-08,"Country_01","Local_04","Mining","I","III","Male","Third Party","Others",2016,"Jun","Others"
"139",2016-06-07,"Country_01","Local_01","Mining","I","I","Male","Employee","Others",2016,"Jun","Others"
"140",2016-06-07,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"Jun","Others"
"141",2016-06-08,"Country_01","Local_06","Metals","IV","IV","Male","Employee","Fall prevention (same level)",2016,"Jun","Physical Hazard"
"142",2016-06-08,"Country_03","Local_10","Others","I","I","Male","Third Party","Bees",2016,"Jun","Biological Hazard"
"143",2016-06-08,"Country_03","Local_10","Others","I","I","Male","Third Party","Others",2016,"Jun","Others"
"144",2016-06-10,"Country_02","Local_05","Metals","I","III","Male","Third Party (Remote)","Manual Tools",2016,"Jun","Mechanical Hazard"
"145",2016-06-13,"Country_01","Local_01","Mining","I","IV","Male","Employee","Others",2016,"Jun","Others"
"146",2016-06-16,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2016,"Jun","Others"
"147",2016-06-16,"Country_03","Local_10","Others","I","I","Male","Third Party","Bees",2016,"Jun","Biological Hazard"
"148",2016-06-18,"Country_03","Local_10","Others","I","I","Male","Employee","Bees",2016,"Jun","Biological Hazard"
"149",2016-06-18,"Country_03","Local_10","Others","I","I","Male","Third Party","Bees",2016,"Jun","Biological Hazard"
"150",2016-06-17,"Country_02","Local_08","Metals","IV","V","Male","Employee","
Not applicable",2016,"Jun","Others"
"151",2016-06-19,"Country_01","Local_03","Mining","IV","IV","Male","Third Party","Others",2016,"Jun","Others"
"152",2016-06-21,"Country_01","Local_01","Mining","I","III","Male","Third Party","Others",2016,"Jun","Others"
"153",2016-06-22,"Country_01","Local_03","Mining","I","III","Male","Third Party (Remote)","Others",2016,"Jun","Others"
"154",2016-06-23,"Country_02","Local_08","Metals","I","II","Male","Employee","Manual Tools",2016,"Jun","Mechanical Hazard"
"155",2016-06-24,"Country_01","Local_01","Mining","I","III","Male","Third Party","Others",2016,"Jun","Others"
"156",2016-06-29,"Country_01","Local_01","Mining","I","IV","Male","Employee","Others",2016,"Jun","Others"
"157",2016-07-02,"Country_01","Local_03","Mining","V","V","Male","Third Party","Others",2016,"Jul","Others"
"158",2016-07-04,"Country_01","Local_06","Metals","III","IV","Male","Third Party","Pressed",2016,"Jul","Mechanical Hazard"
"159",2016-06-24,"Country_01","Local_03","Mining","I","II","Male","Third Party","Others",2016,"Jun","Others"
"160",2016-07-08,"Country_01","Local_01","Mining","I","II","Male","Employee","Others",2016,"Jul","Others"
"161",2016-07-07,"Country_01","Local_03","Mining","IV","V","Male","Third Party","Others",2016,"Jul","Others"
"162",2016-07-08,"Country_01","Local_06","Metals","III","IV","Male","Third Party","Manual Tools",2016,"Jul","Mechanical Hazard"
"163",2016-07-09,"Country_03","Local_10","Others","III","IV","Male","Third Party","Others",2016,"Jul","Others"
"164",2016-07-10,"Country_01","Local_04","Mining","IV","IV","Male","Third Party","Others",2016,"Jul","Others"
"165",2016-07-11,"Country_02","Local_05","Metals","III","IV","Male","Third Party (Remote)","Suspended Loads",2016,"Jul","Physical Hazard"
"166",2016-07-14,"Country_01","Local_03","Mining","I","II","Male","Employee","Others",2016,"Jul","Others"
"167",2016-07-15,"Country_02","Local_05","Metals","I","II","Female","Employee","Chemical substances",2016,"Jul","Chemical Hazard"
"168",2016-07-16,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2016,"Jul","Others"
"169",2016-07-18,"Country_01","Local_06","Metals","I","III","Male","Third Party","Fall prevention (same level)",2016,"Jul","Physical Hazard"
"170",2016-07-20,"Country_02","Local_05","Metals","I","III","Male","Employee","Chemical substances",2016,"Jul","Chemical Hazard"
"171",2016-07-21,"Country_02","Local_12","Others","I","II","Female","Employee","Traffic",2016,"Jul","Physical Hazard"
"172",2016-07-23,"Country_02","Local_08","Metals","I","II","Male","Third Party (Remote)","Pressurized Systems",2016,"Jul","Mechanical Hazard"
"173",2016-07-27,"Country_01","Local_03","Mining","II","IV","Male","Employee","Others",2016,"Jul","Others"
"174",2016-07-29,"Country_01","Local_03","Mining","I","IV","Male","Employee","Others",2016,"Jul","Others"
"175",2016-07-30,"Country_02","Local_07","Mining","I","II","Male","Employee","Others",2016,"Jul","Others"
"176",2016-08-02,"Country_02","Local_02","Mining","I","III","Male","Third Party (Remote)","Others",2016,"Aug","Others"
"177",2016-08-01,"Country_02","Local_05","Metals","II","III","Female","Third Party","Manual Tools",2016,"Aug","Mechanical Hazard"
"178",2016-08-02,"Country_03","Local_10","Others","I","I","Male","Third Party","Bees",2016,"Aug","Biological Hazard"
"179",2016-08-01,"Country_01","Local_04","Mining","II","III","Male","Third Party","Others",2016,"Aug","Others"
"180",2016-08-04,"Country_02","Local_08","Metals","I","II","Male","Employee","Cut",2016,"Aug","Mechanical Hazard"
"181",2016-08-11,"Country_02","Local_02","Mining","IV","IV","Male","Third Party (Remote)","Others",2016,"Aug","Others"
"182",2016-08-11,"Country_02","Local_12","Others","I","IV","Female","Employee","Others",2016,"Aug","Others"
"183",2016-08-12,"Country_01","Local_03","Mining","III","IV","Male","Employee","Others",2016,"Aug","Others"
"184",2016-08-14,"Country_01","Local_01","Mining","III","IV","Male","Third Party","Others",2016,"Aug","Others"
"185",2016-08-14,"Country_02","Local_08","Metals","I","III","Male","Employee","Projection",2016,"Aug","Mechanical Hazard"
"186",2016-08-15,"Country_01","Local_01","Mining","I","IV","Male","Third Party","Others",2016,"Aug","Others"
"187",2016-08-18,"Country_01","Local_03","Mining","I","III","Male","Employee","Others",2016,"Aug","Others"
"188",2016-08-19,"Country_01","Local_03","Mining","I","III","Male","Employee","Others",2016,"Aug","Others"
"189",2016-08-22,"Country_02","Local_05","Metals","I","III","Male","Employee","Pressed",2016,"Aug","Mechanical Hazard"
"190",2016-08-24,"Country_02","Local_05","Metals","I","II","Male","Employee","Cut",2016,"Aug","Mechanical Hazard"
"191",2016-08-25,"Country_01","Local_03","Mining","I","IV","Male","Employee","Others",2016,"Aug","Others"
"192",2016-08-24,"Country_01","Local_01","Mining","I","II","Male","Employee","Others",2016,"Aug","Others"
"193",2016-08-29,"Country_02","Local_05","Metals","I","II","Male","Employee","Chemical substances",2016,"Aug","Chemical Hazard"
"194",2016-08-27,"Country_01","Local_06","Metals","I","II","Male","Employee","Pressurized Systems / Chemical Substances",2016,"Aug","Mechanical Hazard"
"195",2016-08-30,"Country_02","Local_08","Metals","II","II","Female","Third Party (Remote)","Others",2016,"Aug","Others"
"196",2016-08-30,"Country_01","Local_06","Metals","I","II","Male","Third Party","Others",2016,"Aug","Others"
"197",2016-09-01,"Country_02","Local_05","Metals","II","IV","Male","Third Party (Remote)","Manual Tools",2016,"Sep","Mechanical Hazard"
"198",2016-09-02,"Country_01","Local_03","Mining","I","I","Male","Third Party","Others",2016,"Sep","Others"
"199",2016-09-04,"Country_01","Local_03","Mining","I","III","Male","Third Party","Others",2016,"Sep","Others"
"200",2016-09-03,"Country_01","Local_04","Mining","III","IV","Male","Employee","Others",2016,"Sep","Others"
"201",2016-09-04,"Country_01","Local_06","Metals","IV","IV","Male","Employee","Suspended Loads",2016,"Sep","Physical Hazard"
"202",2016-09-06,"Country_02","Local_02","Mining","I","II","Male","Employee","Others",2016,"Sep","Others"
"203",2016-09-05,"Country_02","Local_05","Metals","I","II","Female","Employee","Venomous Animals",2016,"Sep","Biological Hazard"
"204",2016-09-06,"Country_02","Local_07","Mining","I","II","Male","Employee","Others",2016,"Sep","Others"
"205",2016-09-13,"Country_01","Local_03","Mining","I","IV","Male","Third Party","Others",2016,"Sep","Others"
"206",2016-09-12,"Country_01","Local_11","Others","III","IV","Female","Employee","Others",2016,"Sep","Others"
